gender,age,degree,educational_program,year_of_study,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,academic_risk
female,16-17,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,7-9 hours,low,no,full support,sometimes,average,rather satisfied,sometimes,very important,2-8 hours,interest in the subject,0
female,16-17,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,7-9 hours,low,no,full support,sometimes,high,rather satisfied,sometimes,moderately important,2-8 hours,interest in the subject,0
female,18-19,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,less than 6 hours,average,no,full support,often,average,hard to say,never,important,2-8 hours,stress level,0
male,18-19,bachelor,7m06107 media technologies,1 year,technical sciences,more than 4 hours,7-9 hours,average,no,full support,sometimes,average,rather satisfied,sometimes,very important,2-8 hours,interest in the subject,0
female,18-19,bachelor,6b06105 media technologies,1 year,humanities,1-3 hours,less than 6 hours,average,no,partial support,sometimes,high,hard to say,very often,important,9-15 hours,interest in the subject,1
female,16-17,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,7-9 hours,average,no,partial support,sometimes,high,rather satisfied,often,important,2-8 hours,interest in the subject,0
female,16-17,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,7-9 hours,average,no,full support,often,high,rather satisfied,often,very important,2-8 hours,interest in the subject,1
female,18-19,bachelor,6b03201 digital journalism,1 year,humanities,less than 1 hour,less than 6 hours,very low,"yes, part-time",full support,very often,average,rather dissatisfied,rarely,very important,2-8 hours,interest in the subject,0
female,16-17,bachelor,6b03201 digital journalism,1 year,technical sciences,1-3 hours,less than 6 hours,average,no,full support,often,average,rather satisfied,sometimes,moderately important,2-8 hours,quality of teaching,0
male,22-23,bachelor,7m06107 media technologies,1 year,computer sciences,less than 1 hour,7-9 hours,very low,no,full support,sometimes,average,rather dissatisfied,never,slightly important,2-8 hours,financial situation,0
male,18-19,bachelor,6b06105 media technologies,1 year,computer sciences,more than 4 hours,7-9 hours,high,no,full support,often,very high,rather satisfied,very often,important,9-15 hours,amount of self-study,0
male,18-19,bachelor,6b06105 media technologies,1 year,humanities,less than 1 hour,less than 6 hours,very high,no,partial support,never,high,rather satisfied,sometimes,important,2-8 hours,amount of self-study,1
male,16-17,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,less than 6 hours,average,no,partial support,often,low,rather satisfied,sometimes,important,more than 16 hours,interest in the subject,1
female,18-19,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,less than 6 hours,average,"yes, part-time",full support,very often,average,rather satisfied,often,important,2-8 hours,interest in the subject,0
female,16-17,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,7-9 hours,average,"yes, part-time",partial support,rarely,high,rather satisfied,often,important,2-8 hours,personal motivation,0
female,18-19,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,very high,fully satisfied,rarely,moderately important,2-8 hours,quality of teaching,0
female,18-19,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,7-9 hours,very low,no,partial support,very often,high,rather dissatisfied,rarely,important,2-8 hours,personal motivation,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,rather satisfied,often,important,less than 1 hour,personal motivation,0
